Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	101.9483626008543,1828.8319886093973	21070	358.66027527289987	50.48789748457523	1073.9069292833412	373.5280018984338	324.75249169435216	66.97289985761746	14.859088751779781	9.957000474608448	73.24746084480304	97.0	43.0	154.0	141.0	212.0	54.0	13.0	1.0	109.0	4018575.0	629086.0	11446340.0	3872097.0	4056406.0	400949.0	109535.0	4270.0	825957.0
2	134.08456616538288,1571.7077067286139	24537	708.9558218201084	68.78501854342421	1185.1164364021681	293.50144679463665	278.073684639524	46.85633940579533	26.608509597750338	5.729306761217753	114.51485511676243	190.0	68.0	292.0	187.0	235.0	31.0	31.0	0.0	150.0	8509564.0	998146.0	15552744.0	3667837.0	3906979.0	278157.0	268263.0	0.0	1475155.0
3	195.6577861999777,1904.4150596366069	17942	655.6651989744734	37.310389031323155	2856.5638724779847	475.67952290714527	387.44471073458925	93.7957864229183	92.9613198082711	14.938301192732137	301.2868130643184	244.0	34.0	321.0	231.0	281.0	46.0	79.0	0.0	236.0	6305958.0	411881.0	25237022.0	4663561.0	4017304.0	414776.0	759731.0	0.0	2848200.0
4	197.36420906286656,1728.8859104140417	23017	982.1713950558283	65.50875439892253	1875.0592605465527	430.7686927053917	514.5475518095321	98.19476908372073	64.82869183646869	9.693574314637008	196.1786505626276	381.0	77.0	643.0	292.0	383.0	63.0	65.0	0.0	268.0	11544667.0	964093.0	27011855.0	4972221.0	6385751.0	584739.0	561357.0	0.0	2191681.0
5	183.07470511140235,2010.0240279598079	16023	945.0538600761405	85.51750608500281	2705.66897584722	309.1853585470886	298.4946015103289	88.9060101104662	83.62890844411159	7.9307245834113465	196.11084066654183	159.0	57.0	258.0	106.0	179.0	50.0	57.0	0.0	161.0	6964364.0	842215.0	21784233.0	2280208.0	2875457.0	418178.0	606678.0	0.0	1620163.0
6	211.73819098902598,2180.528934632949	14671	831.4280553472837	39.2072115056915	1832.9518778542704	291.8430236521028	209.19760070888145	83.78644945811465	166.58809897075864	8.228750596414695	146.7389407675005	128.0	25.0	218.0	123.0	132.0	38.0	60.0	0.0	131.0	5407126.0	334666.0	13249701.0	2106845.0	1644033.0	316014.0	827010.0	0.0	1205365.0
7	212.1530784105795,1426.1308714365916	16031	1147.2732830141601	56.07080032437153	1874.2194498159815	392.1659908926455	292.57532281205164	58.78847233485123	23.917597155511196	8.74212463352255	141.9260807186077	129.0	30.0	215.0	169.0	197.0	22.0	15.0	0.0	122.0	7824198.0	457161.0	14281410.0	3256415.0	2568001.0	216673.0	123048.0	0.0	1069625.0
8	256.93637807783955,1553.4953931691819	12590	1106.056393963463	26.89142176330421	1577.7084988085783	347.1902303415409	166.51088165210484	50.19324861000794	54.25329626687847	3.8081810961080222	140.47148530579824	228.0	13.0	392.0	143.0	81.0	22.0	32.0	0.0	75.0	7304123.0	202362.0	13278350.0	2232719.0	991487.0	183876.0	283712.0	0.0	592071.0
9	233.54256707759245,2278.990935460479	13790	1002.2023930384337	59.69557650471356	2441.153807106599	232.85794053662073	240.9610587382161	64.45598259608411	101.68701957940537	3.3126903553299494	168.0796229151559	145.0	31.0	175.0	97.0	137.0	23.0	46.0	0.0	143.0	7077460.0	471530.0	15823102.0	1678927.0	1891910.0	205222.0	596381.0	0.0	1349343.0
10	265.9424025100852,2100.4988047213506	13386	671.6850440759002	233.34401613626176	2083.256387270282	333.24174510682803	295.6221425369789	94.25967428656806	241.09457642312864	8.313013596294637	250.21238607500374	172.0	102.0	302.0	144.0	159.0	45.0	107.0	0.0	240.0	4713345.0	1789936.0	15904272.0	2272973.0	2161203.0	379751.0	1410322.0	0.0	1969178.0
11	298.6393264530147,1460.2170016295493	7364	839.5854155350353	32.07183595871809	1427.3905486148833	330.7319391634981	442.92911461162413	69.50067897881586	51.97718631178707	6.879549158066268	187.87384573601304	139.0	11.0	179.0	70.0	130.0	12.0	19.0	0.0	83.0	3494987.0	145684.0	6337569.0	1143575.0	1890012.0	128908.0	149963.0	0.0	632672.0
12	310.016298185941,2000.4482709750566	14112	947.3267431972789	62.84800170068027	916.1579506802722	311.3718820861678	229.2295918367347	64.36472505668934	237.12535430839003	3.8302862811791383	125.02543934240363	158.0	46.0	284.0	156.0	154.0	33.0	122.0	0.0	97.0	6000803.0	542877.0	7730313.0	2286816.0	1686270.0	252414.0	1609179.0	0.0	710749.0
13	281.10538783939745,2371.7427564842374	16463	493.18216606936767	202.2026362145417	2389.5124825365974	256.7668104233736	284.7469477009051	107.37289679888234	147.1663730790257	6.399987851545891	212.59897952985483	147.0	108.0	288.0	115.0	189.0	66.0	82.0	0.0	203.0	4056155.0	1919123.0	18186081.0	2090361.0	2794944.0	626462.0	1099700.0	0.0	2008282.0
14	304.7277894642617,2532.3730922436557	22343	606.1606767220159	128.50789956585956	2756.8514075996954	305.37940294499396	221.54021393725105	159.95412433424337	84.3984245625028	11.041713288278208	196.97381730295842	249.0	126.0	353.0	197.0	179.0	149.0	92.0	1.0	226.0	7355242.0	1777600.0	29174619.0	3593841.0	2701799.0	1437246.0	910047.0	6455.0	2435134.0
