1089.00, 2.00
1283.98,33.91
1483.36,37.80
1650.86,66.81
1842.01,123.18
2040.27,162.44
2231.45,228.96
2422.52,291.17
2598.37,394.44
2741.21,537.76
2873.18,692.20
2977.33,865.32
3045.28,1054.75
3146.44,1121.54
3249.52,1273.13
3386.33,1420.13
3493.36,1592.30
3612.44,1755.99
3660.39,1953.23
3682.01,2155.14
3666.89,2356.84
3659.04,2554.23
3585.53,2708.99
3646.98,2894.88
3655.30,3099.10
3587.86,3293.26
3624.57,3487.15
3663.99,3672.05
3706.15,3870.10
3665.80,4066.06
3684.44,4267.86
3688.08,4468.54
3742.20,4658.52
3701.64,4863.36
3755.36,5049.22
3757.35,5250.34
3706.35,5450.16
3609.54,5586.96
3384.60,5590.07
3240.78,5468.94
3118.48,5305.56
3122.15,5110.06
3045.65,4921.23
3078.01,4717.19
2988.69,4558.18
2967.16,4353.49
2957.53,4151.00
2900.76,3956.87
2905.90,3761.74
2809.65,3616.80
2600.87,3525.27
2287.50,3487.74
2001.45,3513.71
1789.56,3606.55
1651.99,3766.23
1707.73,3950.23
1707.26,4143.90
1762.90,4337.76
1825.87,4528.49
1868.67,4726.41
1875.24,4929.24
1954.49,5104.86
1966.73,5309.41
2001.81,5517.44
1856.83,5575.96
1649.29,5588.57
1461.52,5526.16
1488.46,5340.17
1359.40,5172.73
1273.86,4984.69
1306.18,4852.50
1152.25,4713.83
1145.15,4506.76
1024.13,4358.14
943.18,4188.53
847.40,4009.64
748.10,3832.98
662.92,3658.83
537.03,3497.95
476.37,3308.00
412.49,3125.76
371.34,2924.95
250.92,2762.04
206.68,2565.81
186.37,2367.61
121.77,2181.63
118.88,1977.39
132.95,1777.87
209.80,1594.09
268.47,1403.88
364.68,1217.52
284.81,1040.58
292.63,850.19
204.13,660.60
218.85,460.37
337.61,294.32
506.14,200.67
641.33,87.04
805.05,25.34
1015.00,31.00
