Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	198.26247110197792,1896.1043924993578	19465	0.11091703056768559	3.476290778320062	1.4386848189057282	0.4006678653994349	2.696121243257128	6.106652966863601	0.8467505779604418	2.0755715386591316	0.6531723606473157	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	52756.0	0.0	6418.0	0.0	0.0	0.0	0.0	0.0
2	201.73195123321534,1766.0616888589248	17799	1.1554019888757796	5.649474689589303	1.9289847744255295	6.440586549806169	5.22411371425361	7.532895106466656	2.7614472723186694	4.697061632675993	1.3644024945221642	1.0	6.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	14895.0	58501.0	12281.0	59476.0	7619.0	0.0	0.0	0.0	0.0
3	256.68219972145897,2540.2931832724807	26567	1.1272631460082057	0.26310836752361955	0.039334512741370876	17.163247638047203	0.0	0.22102608499266008	0.022433846501298604	0.0	0.23563066962773366	1.0	1.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	22956.0	6990.0	0.0	296117.0	0.0	0.0	0.0	0.0	0.0
4	267.790931401192,2178.1040863230883	25671	0.5566592653188422	5.000934907093607	0.3197382260137899	1.1110202173658992	0.06524872424136184	0.39573838183163884	0.10455377663511355	0.06618363133496942	0.1729967667796346	1.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7040.0	98750.0	0.0	11591.0	0.0	0.0	0.0	0.0	0.0
5	285.617843721021,2014.519498267363	20489	0.24901166479574405	0.34652740494899703	0.16838303479916053	0.8876470301137196	0.4127580653033335	0.1948850602762458	0.0	0.007906681634047537	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3532.0	0.0	0.0	9552.0	7893.0	0.0	0.0	0.0	0.0
6	305.0759980759981,1732.7173320506654	12474	0.023488856822190155	0.6417348084014751	0.0	5.75036075036075	1.7805034471701138	0.2239057239057239	0.07271123937790605	0.15921115921115922	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45562.0	9337.0	0.0	0.0	0.0	0.0
7	285.4390015182638,2363.2537733321424	22394	2.5259891042243456	0.1574082343484862	0.12789139948200412	2.573948379030097	0.01656693757256408	0.21353934089488255	0.019603465213896578	0.0	0.1084218987228722	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	32307.0	0.0	1537.0	39220.0	0.0	0.0	0.0	0.0	0.0
8	313.8036343218825,1618.5564289724873	19591	0.0	2.8657036394262674	0.0	25.13592976366699	0.4044714409677913	0.25169720790158745	0.007707620846306978	0.0	0.07283956918993416	0.0	2.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	40113.0	0.0	226842.0	0.0	0.0	0.0	0.0	0.0
9	354.91974223784416,1927.1069127123608	13656	0.0	0.6047158758055068	0.02570298769771529	0.13063854715875806	0.013254247217340363	0.23059461042765084	0.0	0.0229203280609256	0.23403632103104863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	350.5917243549402,1831.893801132788	12712	0.1959565764631844	1.6110761485210825	0.0	11.292164883574575	0.34565764631843926	0.35187224669603523	0.0236784140969163	0.06537130270610447	0.17432347388294525	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	19083.0	0.0	87234.0	0.0	0.0	0.0	0.0	0.0
