Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	278.09285988694364,1888.9153174908074	18221	21.734207782229294	56.25141320454421	399.2753965204983	180.0740354535975	140.6341583886724	28.719609242083312	8.689095000274408	0.4142472970748038	9.079249217935349	16.0	26.0	124.0	88.0	80.0	18.0	5.0	0.0	4.0	244709.0	567329.0	3849347.0	1549944.0	1290418.0	180734.0	54982.0	0.0	25936.0
2	332.9394404827208,2001.7569939659902	18230	284.1355458036204	11.275315414152496	962.0747120131651	278.0207899067471	39.93812397147559	36.02057048820625	7.345968184311574	0.5295117937465715	30.48052660449808	85.0	3.0	231.0	135.0	36.0	40.0	8.0	0.0	29.0	2818588.0	84258.0	9474049.0	2579126.0	358373.0	315710.0	61380.0	0.0	169584.0
3	336.67798705120657,2154.078281341966	16990	446.2924072984108	26.01748087110065	743.7042966450854	339.4441436138905	166.82595644496763	37.571924661565625	22.081636256621543	0.9258387286639199	43.073984696880515	65.0	21.0	102.0	104.0	88.0	25.0	19.0	0.0	39.0	3536949.0	306520.0	5537116.0	2692958.0	1448922.0	233729.0	196711.0	0.0	317003.0
4	348.58844574002916,2264.5055651252155	15094	46.40102027295614	36.128262885914936	103.57724923810785	94.59228832648735	58.57294289121505	38.85563800185504	4.7037233337750095	0.20113952563932688	2.9783357625546576	18.0	15.0	19.0	45.0	39.0	24.0	3.0	0.0	1.0	379225.0	273164.0	952332.0	753696.0	474560.0	246634.0	40625.0	0.0	6475.0
5	357.4475608627233,1776.89225215218	10803	45.98852170693326	113.55817828381005	735.0679440896048	332.4614458946589	86.48653151902249	40.25205961307044	188.63260205498472	0.2992687216513931	37.22864019253911	19.0	36.0	212.0	93.0	45.0	15.0	69.0	0.0	8.0	294825.0	717262.0	5088849.0	1764956.0	487301.0	119515.0	920618.0	0.0	65442.0
6	363.27233584499464,1696.5890742734123	11148	37.892536777897384	24.541801219949768	655.9698600645855	304.58073196986004	47.61697165410836	48.469949766774306	44.56969860064586	0.9429494079655544	178.63616792249732	11.0	11.0	209.0	98.0	26.0	23.0	13.0	0.0	91.0	223622.0	160016.0	4712946.0	1649644.0	267702.0	170218.0	187363.0	0.0	943794.0
7	405.4780848579214,1896.2126897625535	12845	451.0605683145193	13.720980926430517	1796.274815103153	393.82187621642663	26.989957181782795	59.13149085247178	24.29139743090697	0.5342156481121059	121.98404048267808	122.0	10.0	251.0	133.0	12.0	25.0	11.0	0.0	82.0	3307499.0	107915.0	12763647.0	2515674.0	149573.0	210574.0	104630.0	0.0	706075.0
8	422.75897158322056,2375.4665223274696	18475	190.4477401894452	32.635669824086605	218.68562922868742	214.29889039242218	117.92985115020298	40.63653585926928	6.489093369418133	0.49098782138024355	12.364438430311232	37.0	28.0	72.0	113.0	90.0	26.0	7.0	0.0	10.0	1625359.0	410600.0	2276345.0	2134878.0	1238443.0	278796.0	57766.0	0.0	64737.0
9	447.46116027531957,2103.951819075713	17289	721.5425993406212	28.15113656081902	1896.5150095436404	294.63473885129275	78.62930186823992	57.52189253282434	135.05350222684945	0.8125397651686043	175.7643588408815	157.0	21.0	343.0	151.0	57.0	44.0	120.0	0.0	174.0	6064746.0	303735.0	16388977.0	2561276.0	668950.0	398046.0	1230904.0	0.0	1549276.0
10	429.07728487969104,1543.7252203188434	20198	54.39796019407862	11.646103574611347	935.0762946826419	333.28963263689474	83.16922467571047	55.83082483414199	12.147341320922864	0.44850975344093474	115.1607584909397	26.0	14.0	450.0	183.0	84.0	45.0	14.0	0.0	122.0	559522.0	149041.0	11692734.0	3268177.0	895867.0	336405.0	128229.0	0.0	1023558.0
