Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	76.38524848212278,1827.5788621542613	22235	0.0	6.655677985158534	448.1195412637733	100.89080278839667	3.1670339554756017	7.273667641106364	1.8571171576343601	0.014616595457611873	18.910636384079154	0.0	6.0	299.0	76.0	4.0	2.0	2.0	0.0	9.0	0.0	89950.0	6208568.0	1086520.0	34881.0	36017.0	15456.0	0.0	107652.0
2	80.61119973595908,2181.6725342428076	18179	8.220199130865284	4.620221134275813	1241.6194510149073	111.30309698003191	2.331591396666483	27.53061224489796	9.733153638814017	0.07167610979701854	61.59717256174707	5.0	4.0	148.0	40.0	1.0	17.0	13.0	0.0	47.0	94748.0	58093.0	10967531.0	889501.0	16212.0	181528.0	91721.0	0.0	463358.0
3	111.1919692375952,2075.096724099682	13523	24.724765214819197	3.81646084448717	773.3954004288989	79.74125563854174	5.988759890556829	12.485838941063374	4.481106263403091	0.09280485099460178	42.49219847666938	9.0	4.0	102.0	35.0	5.0	4.0	4.0	0.0	19.0	184874.0	44759.0	4949092.0	519366.0	29476.0	38192.0	41477.0	0.0	210456.0
4	115.12254866748079,1986.6225845844408	13921	0.0	13.442856116658286	594.6429854177143	76.99396595072193	4.988147403203793	6.678112204583004	0.6893182960994182	0.0	11.258745779757202	0.0	7.0	179.0	44.0	2.0	4.0	1.0	0.0	4.0	0.0	118930.0	4879832.0	561670.0	24350.0	31615.0	8185.0	0.0	27190.0
5	176.85778519109434,1882.1786206396403	13789	0.0	6.9900645442019	294.4177967945464	110.08985423163391	15.344187395750236	6.746029443759518	1.0401769526434115	0.022989339328450212	11.887809123214156	0.0	5.0	140.0	38.0	10.0	0.0	0.0	0.0	1.0	0.0	69840.0	2307976.0	632977.0	111032.0	3788.0	0.0	0.0	8913.0
6	167.78790120646482,2353.513828818575	17572	42.56772137491464	9.111654905531527	1120.9759276121101	189.4574891873435	19.171807420896883	27.266560437058956	3.416628727521056	0.1496130207147735	17.70817209196449	18.0	8.0	281.0	88.0	14.0	18.0	3.0	0.0	9.0	410287.0	118193.0	10597018.0	1666477.0	161195.0	177133.0	21253.0	0.0	70774.0
7	172.79832469086557,2258.988113282808	12535	41.95189469485441	17.998484244116472	898.2785001994415	133.57080175508577	36.577822098125246	19.572237734343837	21.550857598723574	0.4353410450737934	28.405424810530516	16.0	9.0	182.0	55.0	17.0	7.0	16.0	0.0	9.0	307155.0	144162.0	5660829.0	832866.0	206309.0	58282.0	141035.0	0.0	81384.0
8	192.26435571022986,1734.845910797692	21838	4.47824892389413	2.7086729553988462	1224.2508471471747	94.6177763531459	14.811429618096895	20.222364685410753	2.069282901364594	0.10893854748603352	155.45805476692004	4.0	3.0	498.0	85.0	16.0	16.0	1.0	0.0	140.0	67316.0	46569.0	15947145.0	1045490.0	130896.0	115544.0	6796.0	0.0	1637583.0
9	205.81882656350743,2143.257575757576	9306	367.44433698689016	2.5915538362346875	390.63099075865034	80.05276165914464	8.998388136686009	17.885987534923704	0.8110896196002579	0.034278959810874705	3.140876853642811	75.0	2.0	159.0	31.0	5.0	7.0	0.0	0.0	0.0	1826370.0	17864.0	2445516.0	404106.0	42113.0	60668.0	0.0	0.0	0.0
10	237.63146760687528,1957.1587483472895	11345	0.254737769942706	12.09352137505509	136.6717496694579	155.74711326575584	18.794711326575584	14.122697223446453	2.5641251652710446	0.0	10.054561480828559	0.0	7.0	80.0	59.0	12.0	5.0	2.0	0.0	4.0	0.0	98947.0	965165.0	908016.0	95526.0	39219.0	11622.0	0.0	28362.0
11	210.55994426606895,2451.5672744896106	16507	92.93348276488763	3.404252741261283	497.4323014478706	109.67165444962743	3.456775913248925	20.996668080208398	17.509359665596413	0.31574483552432303	105.56260980190223	42.0	4.0	195.0	51.0	5.0	15.0	19.0	0.0	74.0	845121.0	45459.0	5270913.0	847928.0	36695.0	109191.0	144626.0	0.0	916456.0
12	220.35249152250128,1531.1231105235934	17399	0.0	2.7745272716822806	376.99235588252196	114.04149663773781	28.172193804241623	12.194321512730617	2.238002184033565	0.008793608828093569	1.4745100293120295	0.0	2.0	140.0	82.0	28.0	5.0	2.0	0.0	0.0	0.0	32775.0	3344964.0	1069402.0	241167.0	34080.0	14027.0	0.0	883.0
13	224.45586206896553,1389.5160591133006	20300	0.0	3.2478817733990146	21.130394088669952	19.453645320197044	19.697142857142858	1.9838423645320198	1.2079310344827585	0.007980295566502463	0.04433497536945813	0.0	4.0	11.0	14.0	20.0	0.0	1.0	0.0	0.0	0.0	49051.0	213355.0	197752.0	201286.0	0.0	8853.0	0.0	0.0
14	239.56098714815107,1643.8904044784358	12683	0.09768982102026334	1.2259717732397697	986.8449105101316	84.04320744303398	16.256011984546245	12.42316486635654	6.427974453993535	0.024757549475676103	17.15146258771584	0.0	1.0	226.0	46.0	13.0	5.0	6.0	0.0	7.0	0.0	9867.0	7157763.0	530473.0	117993.0	43985.0	48415.0	0.0	48071.0
15	273.041742863958,2047.5589568259522	12577	24.968275423391905	12.39914128965572	138.52953804563887	112.63210622564999	19.922000477061303	5.034189393337043	3.863083406217699	0.15043333068299278	1.5898067901725372	11.0	11.0	82.0	44.0	12.0	2.0	2.0	0.0	0.0	178876.0	131107.0	1060557.0	658133.0	111488.0	14274.0	12455.0	0.0	0.0
16	269.11532682193837,2215.047583270724	7986	55.3198096669171	15.984598046581517	50.49824693213123	125.97044828449788	26.96481342349111	24.96168294515402	5.683696468820436	0.021162033558727773	1.464688204357626	13.0	8.0	18.0	37.0	6.0	10.0	2.0	0.0	0.0	263622.0	105272.0	227067.0	541048.0	86847.0	81088.0	16156.0	0.0	0.0
17	264.07313046582186,1227.5295377476352	22412	0.9601998929145101	0.01820453328573978	232.12631625914688	21.985364983044796	11.768561484918793	8.469391397465644	0.7147956451900768	0.036587542388006426	18.627074781367124	1.0	0.0	52.0	20.0	18.0	6.0	1.0	0.0	13.0	14981.0	0.0	2115571.0	275910.0	148619.0	45741.0	8692.0	0.0	163852.0
18	314.0494466377581,2504.7564558928225	15451	314.423338295256	19.16096045563394	173.1866545854637	111.09928159989644	60.759691929324966	20.63885832632192	11.112872953206912	0.47828619506828035	36.06258494595819	89.0	14.0	114.0	65.0	47.0	6.0	10.0	0.0	13.0	2584271.0	213967.0	1623163.0	908068.0	488273.0	55504.0	77084.0	0.0	191283.0
19	313.06743135210286,2144.6366585563665	8631	79.00567721005677	15.221063607924922	41.385586838141585	128.41988182134168	27.019348858764918	13.793882516510253	8.737805584520913	4.404819835476769	2.9146101262889585	20.0	7.0	19.0	31.0	11.0	6.0	4.0	2.0	1.0	370575.0	106041.0	195945.0	468932.0	110273.0	49563.0	36658.0	19313.0	2810.0
20	288.7279674895372,1103.1627949293384	16487	0.0	0.024746770182568083	114.57117729119912	41.62297567780676	53.15982289076242	11.882634803178261	0.30800024261539394	0.04985746345605629	17.98077273002972	0.0	0.0	30.0	16.0	32.0	9.0	0.0	0.0	10.0	0.0	0.0	895845.0	303849.0	391636.0	60469.0	0.0	0.0	132864.0
21	329.5981634527089,1456.0062442607898	10890	3.040771349862259	8.746280991735537	457.78053259871444	68.4931129476584	28.91083562901745	9.124426078971533	7.40376492194674	0.0	21.632966023875113	1.0	5.0	161.0	36.0	15.0	4.0	6.0	0.0	8.0	23124.0	66645.0	3011273.0	381417.0	158555.0	19807.0	39779.0	0.0	59196.0
22	338.0357268361251,2289.7296474171253	17074	47.55505446878294	9.40236617078599	174.18806372261918	105.54269649759868	77.9370973409863	6.645250087852876	11.690055054468782	0.30332669556050135	10.124458240599742	29.0	10.0	130.0	67.0	54.0	3.0	12.0	0.0	4.0	482144.0	123547.0	1858084.0	890104.0	619507.0	20931.0	97691.0	0.0	27254.0
23	332.0892135899264,1595.2183416488476	8418	0.4499881206937515	5.108339272986457	235.42658588738416	90.99370396768829	19.473152767878357	20.921240199572345	15.335709194583035	0.16120218579234974	4.882632454264671	0.0	5.0	80.0	39.0	7.0	4.0	5.0	0.0	0.0	0.0	37154.0	1222313.0	461570.0	51955.0	33538.0	47620.0	0.0	0.0
24	362.32357084164806,2405.611045897406	17038	206.00410846343468	20.215342176311772	83.67320107993896	88.42821927456274	56.33390069256955	17.321986148608993	8.606585279962436	0.4425988965841061	13.79850921469656	87.0	17.0	65.0	64.0	43.0	6.0	7.0	0.0	9.0	1841036.0	231938.0	868187.0	807371.0	464756.0	58928.0	55758.0	0.0	66080.0
25	346.08344683080145,1927.7245678365637	19090	1.277841801990571	13.200576217915138	178.39093766369828	113.95358826610791	10.086118386589838	15.174070193818753	6.62676794133054	0.20942902042954425	24.33933996856993	1.0	14.0	162.0	90.0	7.0	8.0	9.0	0.0	13.0	12751.0	186181.0	2214672.0	1129060.0	79492.0	63020.0	64826.0	0.0	102866.0
26	330.5780935464772,992.5466548253404	16890	0.017821195973949083	4.252042628774423	37.01474245115453	42.89182948490231	15.313143872113677	4.12421551213736	0.26305506216696267	0.08798105387803434	0.32368265245707517	0.0	3.0	5.0	28.0	15.0	2.0	0.0	0.0	0.0	0.0	51851.0	203362.0	363134.0	145590.0	12002.0	0.0	0.0	0.0
27	368.1663666273512,1692.2956732261468	16109	0.1618349990688435	5.873797256192191	178.24147991805822	117.59004283319884	41.19616363523496	18.617729219690855	7.8400893910236515	0.03972934384505556	23.10720715128189	0.0	6.0	126.0	78.0	30.0	7.0	9.0	0.0	13.0	0.0	66152.0	1838277.0	933407.0	274859.0	66704.0	72620.0	0.0	95037.0
28	364.21182952734995,1356.4094530005311	15064	31.93242166755178	1.8367631439192778	1325.1648300584175	119.38548858204992	59.811736590547	40.74761019649495	6.831651619755709	0.11398035050451408	104.76798990971854	17.0	2.0	208.0	73.0	42.0	19.0	4.0	0.0	60.0	300898.0	23720.0	9886923.0	906642.0	427697.0	192977.0	30495.0	0.0	637248.0
29	353.7355876559422,1795.820617202889	15230	0.366973079448457	3.1995403808273144	225.47202889034799	74.58411030860144	14.361588969139856	12.01306631648063	6.979054497701904	0.09809586342744583	62.28345370978332	0.0	4.0	152.0	50.0	14.0	5.0	5.0	0.0	35.0	1505.0	36015.0	2158997.0	561946.0	116347.0	36918.0	41005.0	0.0	248939.0
30	375.44498844009246,1528.2378620971033	7353	0.08119135046919625	21.677274581803346	505.5135318917449	151.21433428532572	68.51176390588876	37.42594859241126	10.190262477900177	0.2952536379708962	25.318373453012377	0.0	8.0	109.0	38.0	26.0	7.0	5.0	0.0	5.0	0.0	114368.0	2171911.0	521999.0	244174.0	80158.0	37981.0	0.0	29460.0
31	392.16361360042174,2079.0636531365312	15176	13.10872430152873	12.32478914074855	140.88382973115446	57.9661307327359	7.744530838165525	6.267461781760675	5.245519240906694	1.0853979968371112	2.544148655772272	8.0	3.0	111.0	42.0	5.0	2.0	4.0	1.0	0.0	132472.0	93721.0	1400573.0	443154.0	44052.0	20763.0	32478.0	9819.0	0.0
32	363.6775332033064,899.921890963128	10767	0.0	0.0	26.59199405591158	81.77319587628865	4.379028513049132	6.155289309928485	1.4482214172935823	0.02869880189467818	0.8826971301198105	0.0	0.0	12.0	25.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	160958.0	393496.0	24770.0	21815.0	8030.0	0.0	0.0
33	408.907063505223,1090.5289338418172	12062	0.0	15.955231304924556	150.74589620295143	78.29190847289007	69.91800696401923	14.463770518985243	1.319681644835019	0.2623942961366274	15.281130824075609	0.0	10.0	56.0	33.0	44.0	6.0	1.0	0.0	6.0	0.0	139622.0	1078316.0	465907.0	432741.0	45822.0	8374.0	0.0	62817.0
34	421.3051075268817,889.25	744	0.0	0.0	74.84543010752688	88.78494623655914	0.0	3.6881720430107525	11.102150537634408	0.2110215053763441	0.0	0.0	0.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	43724.0	38056.0	0.0	0.0	6224.0	0.0	0.0
35	399.2080745341615,872.5621118012423	322	0.0	0.0	61.537267080745345	66.77018633540372	0.0	2.027950310559006	15.046583850931677	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17441.0	5896.0	0.0	0.0	3837.0	0.0	0.0
36	406.18430034129693,873.6484641638225	293	0.0	0.0	26.648464163822524	79.8566552901024	0.0	1.931740614334471	1.6313993174061434	0.0	6.15358361774744	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2676.0	11517.0	0.0	0.0	0.0	0.0	0.0
37	406.22302205353054,1254.1716510699562	15281	42.64832144493162	6.867744257574766	955.4595903409463	59.97866631764937	82.02944833453309	18.855310516327467	3.7102938289378966	0.06825469537333945	102.28708854132583	16.0	6.0	274.0	48.0	53.0	9.0	3.0	0.0	62.0	374237.0	91343.0	8473110.0	506089.0	605335.0	71132.0	23952.0	0.0	535774.0
38	435.38120567375887,883.2570921985815	564	0.0	0.0	12.441489361702128	206.68971631205673	0.33687943262411346	4.659574468085107	5.225177304964539	0.5602836879432624	11.964539007092199	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2780.0	37922.0	0.0	303.0	0.0	0.0	1654.0
39	398.28785211267603,854.3638497652582	3408	0.0	0.0	73.54665492957747	83.64906103286386	0.16696009389671362	8.930457746478874	4.002640845070423	0.0	2.102992957746479	0.0	0.0	13.0	9.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	173216.0	150482.0	0.0	17888.0	7749.0	0.0	5223.0
40	425.7617836655036,801.5213791471997	16909	0.0	4.182742917972678	26.499083328404993	44.92193506416701	0.0350109409190372	1.5629546395410727	0.0	0.028564669702525282	0.8188538648057248	0.0	3.0	26.0	25.0	0.0	1.0	0.0	0.0	0.0	0.0	52228.0	343458.0	398458.0	0.0	5740.0	0.0	0.0	0.0
