 1.00,20.00,31.00,29.00, 5.00, 2.00, 0.00, 0.00, 0.00
 1.00,13.00,48.00,18.00, 0.00, 0.00, 1.00, 0.00, 0.00
 5.00,15.00,52.00,23.00, 2.00, 2.00, 2.00, 0.00, 0.00
42.00,23.00,91.00,28.00, 1.00, 3.00, 2.00, 0.00, 1.00
 0.00, 8.00, 5.00,10.00, 3.00, 0.00, 0.00, 0.00, 0.00
 0.00, 2.00, 5.00,14.00, 4.00, 0.00, 3.00, 0.00, 0.00
 3.00,11.00,19.00,27.00, 0.00, 0.00, 1.00, 0.00, 0.00
10.00,24.00,230.00,141.00,92.00,11.00, 8.00, 0.00, 7.00
15.00,10.00,15.00,10.00,18.00, 1.00, 0.00, 0.00, 2.00
 4.00, 4.00, 5.00,16.00,11.00, 1.00, 1.00, 0.00, 0.00
 5.00, 1.00, 3.00,17.00, 7.00, 1.00, 0.00, 0.00, 0.00
 2.00,20.00,132.00,81.00,22.00, 7.00, 6.00, 0.00, 3.00
 0.00, 9.00, 5.00,22.00, 7.00, 2.00, 1.00, 0.00, 0.00
29.00,58.00,312.00,180.00,85.00, 9.00, 5.00, 0.00,13.00
31.00,81.00,207.00,98.00,92.00,17.00, 8.00, 0.00,32.00
13.00,22.00,23.00,34.00,27.00, 2.00, 3.00, 0.00, 2.00
 0.00,13.00,42.00,69.00,32.00, 5.00, 1.00, 0.00, 1.00
 9.00, 8.00,79.00,20.00, 3.00, 1.00, 4.00, 0.00, 0.00
18.00,17.00, 8.00,38.00,18.00, 1.00, 1.00, 0.00, 0.00
61.00,39.00,83.00,89.00,37.00, 7.00, 1.00, 1.00, 1.00
 4.00,15.00, 0.00, 8.00, 4.00, 0.00, 0.00, 0.00, 2.00
14.00,15.00,10.00,14.00,11.00, 1.00, 0.00, 0.00, 0.00
25.00, 7.00,11.00, 5.00, 2.00, 0.00, 2.00, 0.00, 1.00
37.00,16.00,20.00,27.00,54.00, 7.00, 4.00, 0.00, 0.00
46.00, 6.00,11.00,38.00,22.00, 4.00, 2.00, 0.00, 8.00
124.00,45.00,75.00,112.00,35.00,11.00, 4.00, 0.00, 0.00
10.00,13.00, 5.00,40.00,39.00, 3.00, 0.00, 0.00, 0.00
 8.00, 4.00,67.00,16.00,11.00, 2.00, 2.00, 0.00, 0.00
67.00,39.00,127.00,73.00,27.00, 7.00, 0.00, 0.00, 6.00
25.00,38.00,121.00,19.00,28.00, 3.00, 7.00, 0.00, 0.00
27.00,46.00,109.00,101.00,52.00, 7.00, 1.00, 0.00, 2.00
13.00, 4.00,34.00,11.00,14.00, 1.00, 0.00, 0.00, 0.00
 1.00, 6.00, 1.00, 1.00, 2.00, 1.00, 0.00, 0.00, 0.00
 0.00, 6.00, 3.00,10.00, 1.00, 1.00, 0.00, 0.00, 0.00
 5.00,13.00,39.00,14.00, 7.00, 2.00, 6.00, 0.00, 0.00
34.00, 8.00, 3.00,11.00, 5.00, 1.00, 1.00, 0.00, 1.00
60.00,16.00,15.00,22.00, 4.00, 4.00, 0.00, 0.00, 3.00
 8.00,25.00, 3.00,20.00,15.00, 6.00, 4.00, 0.00, 0.00
32.00,17.00,135.00,113.00,24.00,10.00, 0.00, 0.00, 3.00
93.00, 7.00,141.00,24.00,36.00, 4.00, 3.00, 0.00, 1.00
 5.00,15.00, 4.00,18.00, 6.00, 2.00, 0.00, 0.00, 0.00
 1.00, 4.00, 6.00, 7.00, 3.00, 0.00, 0.00, 0.00, 0.00
 1.00, 8.00, 4.00,13.00, 0.00, 1.00, 0.00, 0.00, 1.00
 9.00,16.00, 3.00,17.00, 4.00, 3.00, 0.00, 0.00, 0.00
16.00,13.00, 4.00, 8.00, 7.00, 1.00, 1.00, 0.00, 0.00
 8.00, 6.00,31.00,15.00,27.00, 2.00, 4.00, 0.00, 0.00
60.00, 5.00, 9.00,14.00,15.00, 2.00, 0.00, 0.00, 2.00
19.00,14.00,40.00,46.00,19.00, 6.00, 0.00, 0.00, 1.00
17.00, 9.00, 0.00, 8.00,27.00, 6.00, 0.00, 0.00, 0.00
13.00,29.00,10.00,21.00,29.00, 6.00, 0.00, 0.00, 0.00
 2.00,10.00, 1.00, 3.00, 2.00, 1.00, 0.00, 0.00, 0.00
 0.00, 4.00, 0.00, 9.00, 1.00, 1.00, 0.00, 0.00, 1.00
 8.00,27.00,31.00,30.00, 9.00, 9.00, 2.00, 0.00, 1.00
15.00,12.00,15.00,10.00, 7.00, 1.00, 0.00, 0.00, 0.00
 0.00, 5.00,26.00, 5.00, 3.00, 0.00, 1.00, 0.00, 0.00
