Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	187.78769643541588,1617.1951705634342	26090	7.098620160981219	4.839057110003833	57.10383288616328	27.186699885013415	1.371023380605596	0.9131084706784208	0.0	0.0	1.296358758144883	3.0	7.0	63.0	35.0	1.0	1.0	0.0	0.0	1.0	99184.0	92346.0	941082.0	432792.0	14814.0	10233.0	0.0	0.0	7483.0
2	215.42869707249653,1759.4148343594254	23877	11.87921430665494	1.3573313230305315	68.85957197302844	34.93278050006282	0.0	2.5817313732881013	0.0	0.05197470368974327	0.38727645851656406	5.0	3.0	72.0	30.0	0.0	2.0	0.0	0.0	0.0	142714.0	23562.0	969315.0	446299.0	0.0	17964.0	0.0	0.0	0.0
3	210.95116236331893,1933.420747955527	21766	1.6452265000459432	6.966828999356795	17.083203160893135	48.115547183680974	0.5782412937609115	1.6357621979233667	0.013093816043370394	0.036800514563998896	1.8051088854176238	2.0	9.0	21.0	37.0	1.0	2.0	0.0	0.0	0.0	19454.0	113511.0	238121.0	530500.0	7681.0	16731.0	0.0	0.0	0.0
4	236.57095352564102,2291.775841346154	24960	21.719591346153845	18.07215544871795	7.861298076923077	27.17023237179487	0.5356169871794871	0.12263621794871794	0.04731570512820513	0.0	1.4529647435897435	4.0	15.0	11.0	28.0	1.0	0.0	0.0	0.0	0.0	193349.0	271846.0	111976.0	354684.0	10200.0	0.0	0.0	0.0	0.0
5	281.68484206811365,1474.6955708487735	28335	1.8493029821775189	4.2200811716957825	19.70598200105876	20.879442385742013	1.4857243691547557	0.36933121581083467	0.005152638080112935	0.02343391565202047	0.0	3.0	8.0	23.0	20.0	2.0	1.0	0.0	0.0	0.0	33793.0	95890.0	362044.0	289660.0	21338.0	6158.0	0.0	0.0	0.0
6	287.96471329552617,2148.658430101719	22218	0.6634260509496804	15.270456386713475	12.233999459897381	12.280268250967683	3.7867494824016563	0.7691511387163561	0.0	0.021379062021784138	0.47974615176883606	1.0	15.0	18.0	14.0	5.0	1.0	0.0	0.0	1.0	6498.0	243194.0	202539.0	166582.0	47171.0	6131.0	0.0	0.0	4376.0
7	302.97451322854,2037.0443107574874	15459	19.71893395433081	12.577010155896241	3.737369816935119	44.58257325829614	4.659809819522608	1.1280160424348276	0.019276796688013454	0.0	0.5397503072643768	1.0	8.0	5.0	30.0	3.0	2.0	0.0	0.0	1.0	97949.0	131580.0	48690.0	381993.0	37128.0	9568.0	0.0	0.0	3941.0
8	327.189847231063,1888.0318268618714	18852	22.18539147040102	2.5529386802461276	0.8018247400806281	9.778431996605134	4.814343305750053	0.5653511563759813	0.0	0.0	0.17335030765966475	3.0	4.0	2.0	10.0	3.0	0.0	0.0	0.0	0.0	135424.0	39575.0	14420.0	97033.0	43235.0	0.0	0.0	0.0	0.0
9	295.0867227528623,2476.883673856664	15809	12.933455626541843	12.007970143589095	94.6947308495161	106.53210196723386	0.12594091972926813	1.589031564298817	0.0	0.0	0.009235245746093997	1.0	6.0	35.0	51.0	0.0	2.0	0.0	0.0	0.0	74921.0	127239.0	723597.0	818208.0	0.0	10601.0	0.0	0.0	0.0
10	362.50533154438244,2416.034460843161	14161	31.869853823882494	7.781230139114469	7.816820845985453	55.00042369889132	8.586399265588588	2.404914907139326	0.0	0.02330343902266789	0.0	5.0	4.0	4.0	29.0	6.0	2.0	0.0	0.0	0.0	187235.0	67624.0	61308.0	396317.0	73543.0	15462.0	0.0	0.0	0.0
11	337.91476715017996,2581.1623404951465	18338	0.6364925291743919	2.959701166975679	2.491329479768786	38.552023121387286	1.268022685134693	0.655142327407569	2.6512705856691023	0.008506925509870214	0.3040135238302977	0.0	2.0	2.0	33.0	3.0	0.0	2.0	0.0	0.0	0.0	40438.0	19780.0	408465.0	20069.0	0.0	25949.0	0.0	0.0
12	348.22878331402086,1694.97348783314	21575	6.784936268829664	3.3513325608342988	33.98359212050985	18.191332560834297	0.35341830822711473	2.557219003476246	0.3022016222479722	0.02164542294322132	0.16778679026651216	6.0	5.0	27.0	17.0	0.0	3.0	1.0	0.0	0.0	78346.0	58652.0	357533.0	209346.0	0.0	27139.0	5729.0	0.0	0.0
13	381.45461225689513,2295.0148924704845	20413	13.240679958849753	13.414980649586049	23.353010336550238	49.42286778033606	6.000391907118013	1.4788615098221722	0.75157987556949	0.07015137412433253	0.04443246950472738	3.0	15.0	24.0	39.0	7.0	1.0	2.0	0.0	0.0	53231.0	201555.0	281341.0	544314.0	62090.0	8826.0	10966.0	0.0	0.0
14	352.2297706867959,1184.424543946932	17487	17.75684794418711	4.0583862297706865	35.29032995939841	47.85675072911305	5.722765482930177	0.7686281237490707	0.0	0.04614856750729113	0.6182306856521987	3.0	5.0	35.0	32.0	7.0	1.0	0.0	0.0	0.0	102751.0	53227.0	373235.0	458119.0	58070.0	5303.0	0.0	0.0	0.0
15	383.8667188435155,1061.8486717922747	21721	96.17678744072556	18.609594401731044	13.563648082500805	67.85810966345933	5.8367018093089635	2.784264076239584	0.32733299571842916	0.5734542608535519	0.4562405045808204	9.0	15.0	12.0	68.0	6.0	1.0	0.0	0.0	0.0	541189.0	267724.0	165944.0	776942.0	64706.0	10093.0	0.0	0.0	0.0
16	393.67038834951455,1387.1526213592233	20600	24.24601941747573	2.950242718446602	2.332864077669903	77.04174757281554	17.539077669902913	1.3302912621359224	0.15077669902912622	0.047766990291262135	0.11907766990291262	4.0	2.0	3.0	43.0	16.0	1.0	0.0	0.0	0.0	147027.0	39462.0	26799.0	760354.0	180889.0	5360.0	0.0	0.0	0.0
17	403.7742914979757,2684.642844569618	22724	7.337792642140468	10.463122689667312	0.8804347826086957	34.32881534941031	0.9018218623481782	0.26887871853546913	0.0	0.0	0.4634747403626122	2.0	11.0	1.0	24.0	1.0	0.0	0.0	0.0	0.0	78717.0	180369.0	8515.0	377277.0	15281.0	0.0	0.0	0.0	0.0
