Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	250.14561871047295,2080.9247046656856	25141	195.323495485462	8.304522493138698	1119.882462909192	432.26594009784816	320.65108786444455	109.93011415615926	32.138061334075815	16.36681118491707	281.2322501093831	185.0	5.0	643.0	301.0	355.0	93.0	30.0	0.0	360.0	2804556.0	56355.0	20532161.0	5955806.0	4777510.0	854007.0	280604.0	0.0	3965457.0
2	276.90879623462547,1922.618622618889	22521	29.098175036632476	2.588739398783358	244.198081790329	143.2611784556636	195.1410239332179	26.571910661160693	5.9829048443674795	4.556236401580747	37.57137782514098	26.0	2.0	160.0	102.0	179.0	17.0	3.0	0.0	35.0	392645.0	16207.0	3890757.0	1584055.0	2410410.0	135062.0	31250.0	0.0	291248.0
3	278.66479610924057,1787.5494762439207	10692	0.0	3.909371492704826	15.979704451926674	225.91769547325103	400.64150766928543	23.236251402918068	2.364665170220726	1.7698279087167976	1.9226524504302283	0.0	2.0	13.0	48.0	123.0	5.0	1.0	0.0	0.0	0.0	18091.0	106305.0	1123768.0	2499097.0	56914.0	8295.0	0.0	0.0
4	340.8228773146715,1701.1298693255712	16147	0.8733510868892054	3.995479036353502	46.01752647550629	235.87508515513719	454.52969591874654	37.5588034929089	11.835201585433827	4.450857744472658	5.980305939183749	1.0	3.0	37.0	95.0	197.0	14.0	10.0	0.0	0.0	9449.0	31392.0	432976.0	1843843.0	3982217.0	147320.0	84523.0	0.0	1663.0
5	378.24648762305264,1810.8718340820033	10463	23.808085635095097	1.272006116792507	747.7339195259486	263.6608047405142	475.7155691484278	40.07158558730765	74.41144987097391	8.862945617891619	117.30593520022938	12.0	0.0	350.0	101.0	162.0	8.0	36.0	0.0	57.0	129091.0	0.0	5913049.0	1374873.0	2657594.0	60185.0	300023.0	0.0	477821.0
6	339.9034172293841,2212.9133074142283	14661	299.68753836709635	22.0699133756224	1561.7174135461428	482.1978036968829	509.4942364095219	144.0264647704795	139.69169906554805	15.371802741968487	235.72832685355706	176.0	19.0	537.0	202.0	272.0	72.0	80.0	0.0	201.0	2568010.0	188701.0	16883652.0	3669553.0	4361837.0	584829.0	798230.0	0.0	1718591.0
7	357.24433033804024,2391.8318784766793	23370	0.5709028669234061	17.273555840821565	194.83149336756526	203.91643132220796	276.0850235344459	24.14788189987163	0.368806161745828	2.886392811296534	8.344929396662387	0.0	16.0	120.0	138.0	216.0	11.0	0.0	0.0	2.0	3719.0	170520.0	3014551.0	2410737.0	3834178.0	114630.0	0.0	0.0	12595.0
8	378.8061071562383,2116.4002435369052	10676	799.8560322218059	20.182184338703635	1607.209910078681	679.6897714499813	592.3247470962907	148.5513300861746	294.0458036717872	15.181997002622705	262.9526976395654	230.0	9.0	367.0	165.0	209.0	53.0	136.0	0.0	190.0	5157634.0	107742.0	12172864.0	3737306.0	3797939.0	445407.0	1627102.0	0.0	1558678.0
9	400.9882614495331,2009.8815473543798	11245	593.6760337927968	13.957670075589151	1695.0967541129392	599.7751889728769	657.4971098265896	155.70120053357047	233.19866607381059	13.922098710538016	346.93454868830594	202.0	7.0	385.0	164.0	196.0	62.0	110.0	0.0	189.0	4042914.0	76260.0	13513432.0	3270654.0	3923906.0	498188.0	1254711.0	0.0	1991499.0
10	423.6302149178255,1921.6718640258464	14238	449.58526478437983	24.051130776794494	1089.6020508498384	547.1193987919652	526.0640539401601	129.48988621997472	252.56236831015593	10.079997190616659	317.10226155358896	230.0	10.0	490.0	222.0	254.0	69.0	120.0	0.0	261.0	3723328.0	110827.0	11405671.0	4266844.0	4180315.0	548874.0	1638630.0	0.0	2640051.0
