Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	299.93662947568004,1877.5453219572669	27426	0.3603879530372639	1.357726245168818	92.93619193466054	48.05819295558959	27.84204769197112	12.302741923722015	2.1120834244877122	0.00587034201123022	2.3758112739736017	1.0	2.0	76.0	51.0	36.0	12.0	2.0	0.0	1.0	9545.0	19316.0	1482719.0	640867.0	333296.0	102753.0	23073.0	0.0	4137.0
2	350.1276670989037,1502.8975598255333	16966	1.5986679240834611	2.2026405752681835	409.25138512318756	97.92325828126842	17.456029706471767	8.351290816927973	0.527584580926559	0.0	18.4533184015089	1.0	3.0	186.0	42.0	14.0	4.0	0.0	0.0	4.0	17992.0	27295.0	4173988.0	743148.0	139000.0	48911.0	3247.0	0.0	69680.0
3	362.6270522543545,1600.9111592632719	11999	0.0	0.5357946495541295	514.8308192349363	111.31394282856905	17.3937828152346	4.930327527293941	1.2799399949995833	0.0	20.780815067922326	0.0	0.0	162.0	36.0	10.0	1.0	0.0	0.0	7.0	0.0	2879.0	3461450.0	595609.0	91657.0	14118.0	0.0	0.0	61614.0
4	370.8607760026084,1770.606586240626	15335	0.0	3.5721552005216823	511.1692207368764	136.35917835017932	16.41936746005869	11.542745353765895	7.745288555591784	0.08496902510596674	13.746527551353115	0.0	5.0	234.0	66.0	10.0	3.0	5.0	0.0	6.0	0.0	45204.0	4748206.0	916984.0	88118.0	28569.0	43709.0	0.0	38370.0
5	389.3302160168599,2039.79063487882	30368	2.04959167544784	0.1982349841938883	717.2648182297155	99.27156875658588	4.548439146469969	5.023511591148577	2.4399697049525817	0.005433350895679663	37.81213777660695	4.0	0.0	570.0	114.0	8.0	4.0	4.0	0.0	37.0	45920.0	0.0	13683715.0	1321595.0	59221.0	25511.0	31851.0	0.0	293235.0
6	389.34477368492594,1678.2411308957455	14714	0.17126546146527116	11.172692673644148	741.5527388881337	184.1957319559603	21.088962892483348	34.390308549680576	9.051787413347832	0.2712382764713878	14.885211363327443	0.0	10.0	307.0	86.0	13.0	11.0	6.0	0.0	4.0	0.0	93730.0	7311848.0	1252937.0	136489.0	139841.0	48773.0	0.0	33959.0
7	479.9978279147982,1553.276975896861	14272	0.31523262331838564	8.631726457399104	635.4795403587444	191.2952634529148	26.053321188340806	23.242152466367713	1.9052690582959642	0.06691423766816143	11.591577914798206	0.0	5.0	240.0	75.0	16.0	8.0	0.0	0.0	1.0	1785.0	69198.0	5451642.0	1149552.0	149200.0	70604.0	1405.0	0.0	7327.0
8	485.0764314388337,1851.129199239383	18932	2.395890555672935	3.3603950982463555	94.3596027889288	91.35785970843017	63.384270019015425	5.463817874498204	3.4150116205366574	0.06988168180857807	7.627456158884429	3.0	3.0	78.0	68.0	41.0	1.0	2.0	0.0	2.0	31870.0	23092.0	985809.0	811463.0	449572.0	10011.0	15400.0	0.0	13186.0
9	462.49940444679726,1408.8218634197988	15112	0.0	8.623742721016411	710.055320275278	184.1286394917946	14.379632080465855	11.683364213869773	1.2926813128639492	0.042548967707781896	11.408284806776072	0.0	7.0	274.0	78.0	9.0	6.0	1.0	0.0	2.0	0.0	75121.0	6613169.0	1290224.0	98045.0	45480.0	2765.0	0.0	18733.0
10	525.7699074074075,1760.1038888888888	10800	63.52814814814815	2.905925925925926	427.2427777777778	161.48388888888888	43.16287037037037	10.714351851851852	2.370833333333333	0.0587037037037037	16.41296296296296	22.0	2.0	174.0	56.0	19.0	4.0	0.0	0.0	4.0	355179.0	16400.0	2809991.0	780952.0	175807.0	27952.0	0.0	0.0	24385.0
11	543.5780734220266,1459.0579173752126	9997	1.62148644593378	13.0777233169951	335.16094828448536	277.66069820946285	29.111233370011004	10.40892267680304	8.937581274382314	0.11333400020006001	1.0783234970491147	2.0	10.0	168.0	70.0	12.0	3.0	6.0	0.0	0.0	13546.0	94447.0	2131662.0	1222553.0	118886.0	29110.0	40791.0	0.0	0.0
12	556.3371332066708,1694.6373935683625	14211	1.0178734782914645	6.898036732108929	508.61100555907393	69.71944268524382	42.3773133488143	13.472802758426571	3.815143198930406	0.38012806980508057	14.41263809724861	1.0	2.0	257.0	39.0	24.0	3.0	1.0	0.0	4.0	12232.0	28952.0	4775647.0	442534.0	260554.0	21607.0	7582.0	0.0	25582.0
13	539.9969118614894,1962.2922087784134	19753	1.585278185592062	0.9220877841340556	1070.020655090366	111.00754315800131	28.824178605781402	8.367235356654685	8.085708499974688	0.21348655900369565	63.16665822912975	1.0	1.0	428.0	85.0	21.0	2.0	6.0	0.0	34.0	12881.0	10298.0	13187823.0	1020242.0	224914.0	14641.0	57726.0	0.0	248711.0
14	545.4166111111111,1296.4863333333333	18000	0.0535	0.27	81.589	45.37733333333333	0.4698333333333333	4.426833333333334	0.04583333333333333	0.008777777777777778	1.0092777777777777	0.0	0.0	45.0	32.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	762212.0	388736.0	0.0	20451.0	0.0	0.0	3803.0
15	588.135111727005,2095.660185345574	23092	3.075307465789018	0.6038021825740516	29.72423350077949	48.9389398926035	37.82058721635198	11.241035856573705	4.539234366880305	0.05750909405854841	3.3857613026156246	6.0	1.0	36.0	32.0	36.0	6.0	6.0	0.0	1.0	51010.0	8746.0	350615.0	466721.0	340583.0	36839.0	49741.0	0.0	12464.0
16	594.0316285952094,1166.5815684823824	21626	0.0	0.16942569129751225	8.14935725515583	19.514658281697955	0.6067233885138259	2.1868584111717375	0.5861000647368908	0.021363173957273652	0.1472301858873578	0.0	0.0	7.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59284.0	170258.0	0.0	0.0	0.0	0.0	0.0
17	607.6862402303578,1600.5531160016453	19448	4.399475524475524	3.139603044014809	119.72156519950637	41.849033319621554	18.078825586178528	3.2338029617441384	2.5084841628959276	0.04072398190045249	0.8663101604278075	5.0	3.0	88.0	26.0	11.0	0.0	3.0	0.0	0.0	52613.0	23046.0	1266174.0	346272.0	136286.0	0.0	17649.0	0.0	0.0
18	636.0821691718244,1453.516298261126	16965	2.5843796050692602	2.2626584143825523	145.89130562923665	68.5990568818155	5.645210727969348	3.317359269083407	3.6041850869437075	0.009018567639257295	1.2106100795755967	2.0	3.0	113.0	41.0	5.0	1.0	2.0	0.0	0.0	21113.0	27463.0	1398715.0	522139.0	42542.0	6381.0	18478.0	0.0	0.0
19	662.3845102060748,1336.4803203437837	10239	0.0	0.08203926164664518	96.5970309600547	88.58101377087607	7.625744701631018	4.071979685516164	0.23185857993944722	0.09903310870202169	1.3598984275808184	0.0	0.0	47.0	32.0	3.0	2.0	0.0	0.0	0.0	0.0	840.0	585535.0	439601.0	21758.0	11883.0	0.0	0.0	0.0
20	663.1997075609642,1853.625583698882	21201	161.46460072638084	7.44634687043064	708.4504504504505	94.87929814631386	41.34050280647139	16.399556624687516	6.394839866044054	0.059572661666902504	162.38691571152305	110.0	11.0	377.0	69.0	40.0	7.0	7.0	0.0	164.0	2016328.0	93893.0	9935809.0	927366.0	401814.0	73896.0	58294.0	0.0	1552964.0
21	690.0883225208527,1248.4047265987026	10790	0.0	0.07822057460611677	73.37849860982391	58.862465245597775	3.274050046339203	5.210379981464319	1.299536607970343	0.014179796107506951	0.7015755329008341	0.0	0.0	35.0	20.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	324737.0	280964.0	19298.0	21154.0	0.0	0.0	0.0
22	684.863535361275,2023.12129338748	13051	86.31001455827139	2.7394069419967817	1497.4923760631368	290.29852118611603	108.95977319745613	57.331315607999386	45.15922151559268	0.6629377059229178	173.81480346333615	48.0	5.0	382.0	118.0	58.0	19.0	21.0	0.0	114.0	662076.0	28669.0	13644447.0	1820725.0	620960.0	147223.0	194282.0	0.0	910977.0
23	706.2559721563044,1947.936086062332	6321	39.37573168802405	22.897326372409427	819.9041290934979	157.74466065495966	120.29663028001899	53.85223856984654	30.962664135421612	0.8762853978800823	96.6470495174814	6.0	5.0	139.0	34.0	27.0	5.0	5.0	0.0	33.0	114916.0	81451.0	3244368.0	455111.0	303938.0	50651.0	51709.0	0.0	249242.0
24	722.6300878386737,1610.4612767536805	16166	40.95038970679203	2.6843374984535444	163.14122231844613	64.32834343684276	15.801125819621427	3.0997773104045527	4.55919831745639	0.07559074601014475	33.623283434368425	21.0	2.0	111.0	36.0	11.0	0.0	3.0	0.0	9.0	368767.0	24045.0	1354128.0	487363.0	98624.0	0.0	25421.0	0.0	76998.0
25	754.3288280277432,1418.083644555101	16869	4.139071669927085	2.4843796312763056	205.48023000770644	64.83045823700279	8.57934673068943	7.117493627363803	2.3944513604837274	0.051811014286561145	9.787717114233208	2.0	2.0	180.0	46.0	7.0	7.0	1.0	0.0	2.0	35313.0	19733.0	2088094.0	581957.0	62060.0	34953.0	8244.0	0.0	16532.0
26	755.7660354827703,1691.5964687819858	11724	17.936284544524053	8.093227567383146	187.5934834527465	124.18636983964517	65.94686113954282	18.663937222790857	11.674513817809622	0.2655237120436711	17.013391334015694	9.0	6.0	114.0	49.0	25.0	5.0	4.0	0.0	6.0	119735.0	57398.0	1420423.0	673465.0	275864.0	28378.0	35196.0	0.0	42284.0
27	756.3563871473355,1140.5912519592478	20416	0.0	5.194455329153605	24.234277037617556	29.212921238244515	8.148902821316614	9.136902429467085	2.366918103448276	0.007494122257053292	1.1323961598746082	0.0	8.0	22.0	25.0	8.0	5.0	1.0	0.0	0.0	0.0	71170.0	209461.0	309765.0	77390.0	48156.0	9781.0	0.0	0.0
28	802.9110402632797,1967.4724636190672	19447	280.25880598549907	17.79503265285134	2578.4861418213604	437.95675425515503	289.97012392656967	92.9731578135445	71.79415848202808	1.206304314290122	350.63763048285085	163.0	18.0	504.0	207.0	215.0	44.0	44.0	0.0	342.0	3009632.0	183218.0	32084464.0	4236830.0	2870109.0	349892.0	444320.0	0.0	3848606.0
29	776.8598632389856,1770.393837098589	11553	183.4481952739548	13.455033324677572	575.2282524019735	118.8254998701636	72.6323898554488	23.221847139271183	13.698433307366052	0.35583831039556824	69.92088634986584	33.0	8.0	219.0	49.0	36.0	7.0	6.0	0.0	32.0	1076955.0	93951.0	4152517.0	627189.0	328472.0	49902.0	47299.0	0.0	321119.0
30	796.0639634104717,1288.6229094136118	14649	0.0	3.3876032493685577	24.239333742917605	43.63458256536283	28.288074271281317	9.472387193665096	0.7203222062939449	0.04703392723052768	1.2966755409925592	0.0	1.0	15.0	24.0	13.0	6.0	0.0	0.0	0.0	0.0	10606.0	158732.0	331738.0	152961.0	53105.0	0.0	0.0	0.0
31	829.8738033072236,1520.3842242682424	21831	7.219229535980944	4.30598689936329	9.755256286931427	59.05066190279877	15.050890934909074	4.9519490632586685	1.919655535706106	0.029178690852457514	1.19902890385232	6.0	4.0	7.0	40.0	12.0	2.0	1.0	0.0	0.0	84107.0	50709.0	60869.0	562803.0	142867.0	14590.0	8255.0	0.0	0.0
32	860.9494799405646,1797.4820868416707	6057	29.273072478124483	3.2618457982499587	665.0696714545154	209.81624566617137	26.93676737658907	45.50800726432227	44.87485553904573	0.40449067194981014	166.69506356281988	6.0	3.0	138.0	48.0	8.0	4.0	13.0	0.0	61.0	105403.0	17634.0	2823660.0	640510.0	75814.0	51665.0	109187.0	0.0	658240.0
33	845.4253915185641,1865.3143586134083	11366	7.129948970614112	4.9901460496216785	443.8469998240366	130.27265528770016	143.69417561147282	18.16047862044695	15.649656871370755	0.14041879289107864	150.29869787084286	4.0	3.0	202.0	42.0	53.0	4.0	6.0	0.0	87.0	48901.0	32154.0	3474981.0	648941.0	789941.0	30728.0	54376.0	0.0	736234.0
34	858.277108433735,963.8786466621202	26394	0.0	6.3307191028264	48.43381071455634	47.827157687353186	18.393612184587408	9.464764719254376	2.958399636280973	0.09850723649314239	1.3118890656967492	0.0	10.0	57.0	53.0	21.0	6.0	4.0	0.0	0.0	0.0	113714.0	728990.0	651443.0	207141.0	51372.0	32359.0	0.0	0.0
35	873.366920582246,1687.4807300701411	13259	103.13424843502527	3.366769741307791	135.83083188777434	71.043819292556	13.509766950750434	11.97277321064937	25.735047891997887	0.3128441058903386	35.17308997661966	39.0	3.0	108.0	37.0	7.0	2.0	14.0	0.0	11.0	714232.0	31510.0	1168039.0	465194.0	74615.0	14929.0	114222.0	0.0	84840.0
36	875.9780112862425,1096.8086527858857	15417	0.0	1.9200882143088798	72.63417007199844	47.28585327884802	7.16540182914964	12.247194655250697	3.715184536550561	0.0	1.454173963806188	0.0	3.0	51.0	34.0	7.0	9.0	4.0	0.0	0.0	0.0	14271.0	506367.0	368158.0	53069.0	66535.0	26465.0	0.0	0.0
37	902.5154793717004,1326.6474613830412	15343	0.8339959590692824	2.8495730952225773	45.638206348171806	38.99765365313172	12.091703056768559	5.153229485758978	11.819852701557714	0.010297855699667601	2.3043081535553673	1.0	4.0	37.0	26.0	8.0	2.0	6.0	0.0	0.0	10241.0	31122.0	429944.0	328482.0	86399.0	12892.0	66727.0	0.0	0.0
38	916.0877898722196,1205.1100331282537	16904	3.23550638902035	9.072586370089919	62.96894226218647	55.762778040700425	9.380856601987695	12.995563180312352	3.321521533364884	0.10080454330336015	4.300934690014198	3.0	9.0	38.0	29.0	8.0	8.0	2.0	0.0	0.0	37865.0	105122.0	435865.0	434481.0	74364.0	63052.0	10884.0	0.0	0.0
39	877.2968574635241,755.669223095149	16038	0.0	0.0	0.9060980172091283	16.050442698590846	0.22496570644718794	3.4220601072452923	0.009041027559546078	0.020264372116223967	0.05331088664421998	0.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	121136.0	0.0	6177.0	0.0	0.0	0.0
40	935.4286321671526,1428.2102162293488	16464	1.4086491739552964	1.0154883381924198	150.7154397473275	47.30855199222546	3.383321185617104	5.151846452866861	3.8273202137998057	0.02891156462585034	7.114006316812439	1.0	1.0	134.0	35.0	4.0	3.0	3.0	0.0	0.0	13383.0	9802.0	1455755.0	386062.0	27702.0	17941.0	17599.0	0.0	0.0
41	953.0989210742348,1643.712794652281	17054	265.14242992846255	0.12272780579336226	278.85246862906064	74.61023806731559	10.120616864078809	11.397853875923538	22.195027559516827	0.38026269496892223	69.22311481177437	103.0	0.0	178.0	40.0	9.0	1.0	11.0	0.0	66.0	2413129.0	0.0	3101476.0	510614.0	63786.0	8504.0	100440.0	0.0	495352.0
42	954.7838804029899,852.6450005416531	18462	0.0	8.667804138229878	50.932347524645216	69.60724731881703	6.384627884302892	11.01798288376124	2.443505579027191	0.04381973783988734	3.1799371682374606	0.0	10.0	44.0	47.0	7.0	8.0	2.0	0.0	2.0	0.0	107879.0	497631.0	629682.0	58860.0	61711.0	13143.0	0.0	12841.0
43	967.8212364698851,708.4719436881599	15059	0.8941496779334617	2.8746928746928746	80.03997609403015	86.93804369480046	4.887110697921509	7.752905239391726	3.834052725944618	0.0209841290922372	0.9636762069194502	1.0	2.0	68.0	51.0	3.0	2.0	3.0	0.0	0.0	11179.0	27421.0	738607.0	664758.0	30578.0	14370.0	20854.0	0.0	0.0
44	954.9937145174372,1802.0270681265206	9864	54.07238442822384	12.129764801297648	229.2610502838605	76.91119221411192	37.071877534468776	33.54876317923763	26.5669099756691	0.5795823195458232	53.65095296025953	17.0	7.0	110.0	31.0	12.0	5.0	9.0	0.0	14.0	279878.0	86642.0	1566433.0	403293.0	114393.0	58438.0	79177.0	0.0	113938.0
45	982.4198828233981,1925.8972379800987	21506	132.19627080814655	12.46828791965033	2157.2863851948296	256.0315260857435	114.27578350227843	67.4425741653492	58.79945131591184	0.6859016088533433	364.77703896586996	95.0	17.0	315.0	112.0	106.0	57.0	52.0	0.0	203.0	1544561.0	179999.0	26938628.0	2284556.0	1180294.0	502891.0	469212.0	0.0	4219152.0
